water_id,brand,product_name,category,variant,is_gaseous,carbonation_natural,owner_group,source_name,source_id,emb_code,bottle_sizes_ml,pack_formats,ean_primary,status,notes
W-FR-FR-EVIAN-PL,Evian,Evian,EMN,plate,False,,Divers,,,,,,,active,
W-FR-FR-VITTEL-PL,Vittel,Vittel,EMN,plate,False,,Divers,,,,,,,active,
W-FR-FR-CONTREX-PL,Contrex,Contrex,EMN,plate,False,,Divers,,,,,,,active,
W-FR-FR-HEPAR-PL,Hépar,Hépar,EMN,plate,False,,Divers,,,,,,,active,
W-FR-FR-VOLVIC-PL,Volvic,Volvic,EMN,plate,False,,Divers,,,,,,,active,
W-FR-FR-THONON-PL,Thonon,Thonon,EMN,plate,False,,Divers,,,,,,,active,
W-FR-FR-MONTCALM-PL,Montcalm,Montcalm,EMN,plate,False,,Divers,,,,,,,active,
W-FR-FR-MONTCLAR-PL,Montclar,Montclar,EMN,plate,False,,Divers,,,,,,,active,
W-FR-FR-MONT-ROUCOUS-PL,Mont Roucous,Mont Roucous,EMN,plate,False,,Divers,,,,,,,active,
W-FR-FR-ABATILLES-PL,Abatilles,Abatilles,EMN,plate,False,,Divers,,,,,,,active,
W-FR-FR-AIX-LES-BAINS-PL,Aix-les-Bains,Aix-les-Bains,EMN,plate,False,,Divers,,,,,,,active,
W-FR-FR-VELLEMINFROY-PL,Velleminfroy,Velleminfroy,EMN,plate,False,,Divers,,,,,,,active,
W-FR-FR-SAINT-GERON-PL,Saint-Géron,Saint-Géron,EMN,plate,False,,Divers,,,,,,,active,
W-FR-FR-PRINCE-NOIR-PL,Prince Noir,Prince Noir,EMN,plate,False,,Divers,,,,,,,active,
W-FR-FR-BROCELIANDE-PL,Brocéliande,Brocéliande,EMN,plate,False,,Divers,,,,,,,active,
W-FR-FR-VALVERT-PL,Valvert,Valvert,EMN,plate,False,,Divers,,,,,,,active,
W-FR-FR-PLANCOËT-PL,Plancoët,Plancoët,EMN,plate,False,,Divers,,,,,,,active,
W-FR-FR-CELTIC-PL,Celtic,Celtic,EMN,plate,False,,Divers,,,,,,,active,
W-FR-FR-CAROLA-BLEU-PL,Carola Bleu,Carola Bleu,EMN,plate,False,,Divers,,,,,,,active,
W-FR-FR-WATTWILLER-PL,Wattwiller,Wattwiller,EMN,plate,False,,Divers,,,,,,,active,
W-FR-FR-OGEU-PL,Ogeu,Ogeu,EMN,plate,False,,Divers,,,,,,,active,
W-FR-FR-REINE-DES-BASALTES-PL,Reine des Basaltes,Reine des Basaltes,EMN,plate,False,,Divers,,,,,,,active,
W-FR-FR-PAROT-PL,Parot,Parot,EMN,plate,False,,Divers,,,,,,,active,
W-FR-FR-SAINTE-MARGUERITE-PL,Sainte-Marguerite,Sainte-Marguerite,EMN,plate,False,,Divers,,,,,,,active,
W-FR-FR-HYDROXYDASE-PL,Hydroxydase,Hydroxydase,EMN,plate,False,,Divers,,,,,,,active,
W-FR-FR-FAUSTINE-PL,Faustine,Faustine,EMN,plate,False,,Divers,,,,,,,active,
W-FR-FR-ARVIE-PL,Arvie,Arvie,EMN,plate,False,,Divers,,,,,,,active,
W-FR-FR-AMANDA-PL,Amanda,Amanda,EMN,plate,False,,Divers,,,,,,,active,
W-FR-FR-SAINT-AMAND-PL,Saint-Amand,Saint-Amand,EMN,plate,False,,Divers,,,,,,,active,
W-FR-FR-CHAMBON-PL,Chambon,Chambon,EMN,plate,False,,Divers,,,,,,,active,
W-FR-FR-LUCHON-PL,Luchon,Luchon,EMN,plate,False,,Divers,,,,,,,active,
W-FR-FR-DIDIER-PL,Didier,Didier,EMN,plate,False,,Divers,,,,,,,active,
W-FR-FR-MATOUBA-PL,Matouba,Matouba,EMN,plate,False,,Divers,,,,,,,active,
W-FR-FR-ISABELLE-PL,Isabelle,Isabelle,EMN,plate,False,,Divers,,,,,,,active,
W-FR-FR-LA-FRANCAISE-PL,La Française,La Française,EMN,plate,False,,Divers,,,,,,,active,
W-FR-FR-BIOVIVE-PL,Biovive,Biovive,EMN,plate,False,,Divers,,,,,,,active,
W-FR-FR-LA-CAIROLLE-PL,La Cairolle,La Cairolle,EMN,plate,False,,Divers,,,,,,,active,
W-FR-FR-OREE-DU-BOIS-PL,Orée du Bois,Orée du Bois,EMN,plate,False,,Divers,,,,,,,active,
W-FR-FR-NESSEL-(PLATE)-PL,Nessel (plate),Nessel (plate),EMN,plate,False,,Divers,,,,,,,active,
W-FR-FR-OGEU---SOURCE-DU-ROY-PL,Ogeu - source du Roy,Ogeu - source du Roy,EMN,plate,False,,Divers,,,,,,,active,
W-FR-FR-PLANCOËT-(PLATE)-PL,Plancoët (plate),Plancoët (plate),EMN,plate,False,,Divers,,,,,,,active,
W-FR-FR-VERNET-(PLATE)-PL,Vernet (plate),Vernet (plate),EMN,plate,False,,Divers,,,,,,,active,
W-FR-FR-VENTADOUR-(PLATE)-PL,Ventadour (plate),Ventadour (plate),EMN,plate,False,,Divers,,,,,,,active,
W-FR-FR-VELLEMINFROY-(PLATE)-PL,Velleminfroy (plate),Velleminfroy (plate),EMN,plate,False,,Divers,,,,,,,active,
W-FR-FR-MONT-DORE-PL,Mont Dore,Mont Dore,EMN,plate,False,,Divers,,,,,,,active,
W-FR-FR-BADOIT-GA,Badoit,Badoit,EMN,gazeuse,True,true,Divers,,,,,,,active,
W-FR-FR-PERRIER-GA,Perrier,Perrier,EMN,gazeuse,True,true,Divers,,,,,,,active,
W-FR-FR-SAINT-YORRE-GA,Saint-Yorre,Saint-Yorre,EMN,gazeuse,True,true,Divers,,,,,,,active,
W-FR-FR-VICHY-CELESTINS-GA,Vichy Célestins,Vichy Célestins,EMN,gazeuse,True,true,Divers,,,,,,,active,
W-FR-FR-QUEZAC-GA,Quézac,Quézac,EMN,gazeuse,True,true,Divers,,,,,,,active,
W-FR-FR-VERNIERE-GA,Vernière,Vernière,EMN,gazeuse,True,true,Divers,,,,,,,active,
W-FR-FR-VERNET-GA,Vernet,Vernet,EMN,gazeuse,True,true,Divers,,,,,,,active,
W-FR-FR-ROZANA-GA,Rozana,Rozana,EMN,gazeuse,True,true,Divers,,,,,,,active,
W-FR-FR-OREZZA-GA,Orezza,Orezza,EMN,gazeuse,True,true,Divers,,,,,,,active,
W-FR-FR-CILAOS-GA,Cilaos,Cilaos,EMN,gazeuse,True,true,Divers,,,,,,,active,
W-FR-FR-NESSEL-GA,Nessel,Nessel,EMN,gazeuse,True,true,Divers,,,,,,,active,
W-FR-FR-ARCENS-GA,Arcens,Arcens,EMN,gazeuse,True,true,Divers,,,,,,,active,
W-FR-FR-VENTADOUR-GA,Ventadour,Ventadour,EMN,gazeuse,True,true,Divers,,,,,,,active,
W-FR-FR-CHATELDON-GA,Châteldon,Châteldon,EMN,gazeuse,True,true,Divers,,,,,,,active,
W-FR-FR-CESAR-GA,César,César,EMN,gazeuse,True,true,Divers,,,,,,,active,
W-FR-FR-FAUSTINE-(GAZEUSE)-GA,Faustine (gazeuse),Faustine (gazeuse),EMN,gazeuse,True,true,Divers,,,,,,,active,
W-FR-FR-PLANCOËT-FINES-BULLES-GA,Plancoët fines bulles,Plancoët fines bulles,EMN,gazeuse,True,true,Divers,,,,,,,active,
W-FR-FR-PUITS-SAINT-GEORGES-GA,Puits Saint-Georges,Puits Saint-Georges,EMN,gazeuse,True,true,Divers,,,,,,,active,
W-FR-FR-VERNIERE-(FINES-BULLES)-GA,Vernière (fines bulles),Vernière (fines bulles),EMN,gazeuse,True,true,Divers,,,,,,,active,
W-FR-FR-CRISTALINE-PL,Cristaline,Cristaline,Eau de source,plate,False,,Divers,,,,,,,active,
W-FR-FR-CARREFOUR-CLASSIC-EAU-DE-SOURCE-PL,Carrefour Classic' Eau de source,Carrefour Classic' Eau de source,Eau de source,plate,False,,Divers,,,,,,,active,
W-FR-FR-MARQUE-REPERE-EAU-DE-SOURCE-PL,Marque Repère Eau de source,Marque Repère Eau de source,Eau de source,plate,False,,Divers,,,,,,,active,
W-FR-FR-ECO+-EAU-DE-SOURCE-PL,Eco+ Eau de source,Eco+ Eau de source,Eau de source,plate,False,,Divers,,,,,,,active,
W-FR-FR-U-EAU-DE-SOURCE-PL,U Eau de source,U Eau de source,Eau de source,plate,False,,Divers,,,,,,,active,
W-FR-FR-AUCHAN-EAU-DE-SOURCE-PYRENEA-PL,Auchan Eau de source Pyrénéa,Auchan Eau de source Pyrénéa,Eau de source,plate,False,,Divers,,,,,,,active,
W-FR-FR-CASINO-EAU-DE-SOURCE-ROCHE-DES-ECRINS-PL,Casino Eau de source Roche des Écrins,Casino Eau de source Roche des Écrins,Eau de source,plate,False,,Divers,,,,,,,active,
W-FR-FR-CORA-ONDINE-PL,Cora Ondine,Cora Ondine,Eau de source,plate,False,,Divers,,,,,,,active,
W-FR-FR-MONOPRIX-EAU-DE-SOURCE-PL,Monoprix Eau de source,Monoprix Eau de source,Eau de source,plate,False,,Divers,,,,,,,active,
W-FR-FR-SASKIA-(LIDL)-PL,Saskia (Lidl),Saskia (Lidl),Eau de source,plate,False,,Divers,,,,,,,active,
W-FR-FR-ROCHEVAL-(ALDI)-PL,Rocheval (Aldi),Rocheval (Aldi),Eau de source,plate,False,,Divers,,,,,,,active,
W-FR-FR-TOP-BUDGET-EAU-DE-SOURCE-PL,Top Budget Eau de source,Top Budget Eau de source,Eau de source,plate,False,,Divers,,,,,,,active,
W-FR-FR-EAU-DE-SOURCE-LAQUEUILLE-PL,Eau de source Laqueuille,Eau de source Laqueuille,Eau de source,plate,False,,Divers,,,,,,,active,
W-FR-FR-EAU-DE-SOURCE-GRAND-BARBIER-PL,Eau de source Grand Barbier,Eau de source Grand Barbier,Eau de source,plate,False,,Divers,,,,,,,active,
W-FR-FR-EAU-DE-SOURCE-FIEE-DES-LOIS-PL,Eau de source Fiée des Lois,Eau de source Fiée des Lois,Eau de source,plate,False,,Divers,,,,,,,active,
W-FR-FR-EAU-DE-SOURCE-SAINTE-SOPHIE-PL,Eau de source Sainte-Sophie,Eau de source Sainte-Sophie,Eau de source,plate,False,,Divers,,,,,,,active,
W-FR-FR-EAU-DE-SOURCE-LOUISE-PL,Eau de source Louise,Eau de source Louise,Eau de source,plate,False,,Divers,,,,,,,active,
W-FR-FR-EAU-DE-SOURCE-MONTCLAR-PL,Eau de source Montclar,Eau de source Montclar,Eau de source,plate,False,,Divers,,,,,,,active,
W-FR-FR-EAU-DE-SOURCE-SAINT-MARTIN-DABBAT-PL,Eau de source Saint-Martin d'Abbat,Eau de source Saint-Martin d'Abbat,Eau de source,plate,False,,Divers,,,,,,,active,
W-FR-FR-EAU-DE-SOURCE-MONTAGNE-DAUVERGNE-PL,Eau de source Montagne d’Auvergne,Eau de source Montagne d’Auvergne,Eau de source,plate,False,,Divers,,,,,,,active,
W-FR-FR-EAU-DE-SOURCE-SAINTE-AUDE-PL,Eau de source Sainte-Aude,Eau de source Sainte-Aude,Eau de source,plate,False,,Divers,,,,,,,active,
W-FR-FR-EAU-DE-SOURCE-ROCHE-DES-ECRINS-PL,Eau de source Roche des Écrins,Eau de source Roche des Écrins,Eau de source,plate,False,,Divers,,,,,,,active,
W-FR-IMP-SAN-PELLEGRINO-GA,San Pellegrino,San Pellegrino,EMN,gazeuse,True,true,Nestlé,,,,,,,active,
W-FR-IMP-ACQUA-PANNA-PL,Acqua Panna,Acqua Panna,EMN,plate,False,,Nestlé,,,,,,,active,
W-FR-IMP-GEROLSTEINER-GA,Gerolsteiner,Gerolsteiner,EMN,gazeuse,True,true,Gerolsteiner,,,,,,,active,
W-FR-IMP-HENNIEZ-PL,Henniez,Henniez,EMN,plate,False,,Nestlé,,,,,,,active,
W-FR-IMP-APOLLINARIS-GA,Apollinaris,Apollinaris,EMN,gazeuse,True,true,Coca-Cola,,,,,,,active,
W-FR-IMP-FERRARELLE-GA,Ferrarelle,Ferrarelle,EMN,gazeuse,True,true,Ferrarelle,,,,,,,active,
W-FR-IMP-HIGHLAND-SPRING-PL,Highland Spring,Highland Spring,EMN,plate,False,,Highland Spring,,,,,,,active,
W-FR-IMP-VOSS-PL,Voss,Voss,EMN,plate,False,,Voss,,,,,,,active,
W-FR-IMP-VOSS-(GAZEUSE)-GA,Voss (gazeuse),Voss (gazeuse),EMN,gazeuse,True,true,Voss,,,,,,,active,
W-FR-IMP-SPA-REINE-PL,Spa Reine,Spa Reine,EMN,plate,False,,Spadel,,,,,,,active,
W-FR-IMP-SPA-INTENSE-GA,Spa Intense,Spa Intense,EMN,gazeuse,True,true,Spadel,,,,,,,active,
W-FR-IMP-HILDON-PL,Hildon,Hildon,EMN,plate,False,,Hildon,,,,,,,active,
W-FR-IMP-BORJOMI-GA,Borjomi,Borjomi,EMN,gazeuse,True,true,IDS Borjomi,,,,,,,active,
W-FR-IMP-LUSO-PL,Luso,Luso,EMN,plate,False,,Central de Cervejas,,,,,,,active,
W-FR-FR-PLANCOËT-(GAZEUSE)-GA,Plancoët (gazeuse),Plancoët (gazeuse),EMN,gazeuse,True,true,Divers,,,,,,,active,
W-FR-FR-VALVERT-(GAZEUSE)-GA,Valvert (gazeuse),Valvert (gazeuse),EMN,gazeuse,True,true,Divers,,,,,,,active,
W-FR-FR-OGEU-(GAZEUSE)-GA,Ogeu (gazeuse),Ogeu (gazeuse),EMN,gazeuse,True,true,Divers,,,,,,,active,
W-FR-FR-MONTCALM-(GAZEUSE)-GA,Montcalm (gazeuse),Montcalm (gazeuse),EMN,gazeuse,True,true,Divers,,,,,,,active,
W-FR-FR-MONTCLAR-(GAZEUSE)-GA,Montclar (gazeuse),Montclar (gazeuse),EMN,gazeuse,True,true,Divers,,,,,,,active,
