country_code,country_name,compliance_rate,nitrate_avg_mg_l,pesticide_violations,lead_violations,bacteria_violations,population_served_millions,water_supply_zones,report_year,quality_score
AT,Autriche,99.5,12.3,2,0,1,8.9,1200,2023,A
BE,Belgique,98.7,18.5,5,1,3,11.5,800,2023,A
BG,Bulgarie,95.2,22.1,12,8,15,6.9,520,2023,C
HR,Croatie,97.1,14.2,4,2,6,4.0,450,2023,B
CY,Chypre,98.0,16.8,3,1,2,1.2,120,2023,B
CZ,Tchéquie,98.9,15.4,3,1,2,10.7,900,2023,A
DK,Danemark,99.7,8.2,1,0,0,5.8,2600,2023,A
EE,Estonie,97.5,10.1,2,1,4,1.3,180,2023,B
FI,Finlande,99.8,5.1,0,0,1,5.5,1500,2023,A
FR,France,98.2,19.8,8,2,5,67.4,25000,2023,B
DE,Allemagne,99.4,17.2,3,0,2,83.2,16000,2023,A
GR,Grèce,96.5,20.5,7,3,8,10.7,1100,2023,B
HU,Hongrie,97.8,18.9,6,4,5,9.7,680,2023,B
IE,Irlande,98.1,11.5,2,1,7,5.0,900,2023,B
IT,Italie,97.5,21.3,9,3,6,59.5,8000,2023,B
LV,Lettonie,96.8,9.8,3,2,5,1.9,250,2023,B
LT,Lituanie,97.2,12.4,4,2,4,2.8,350,2023,B
LU,Luxembourg,99.3,13.1,1,0,1,0.6,80,2023,A
MT,Malte,97.0,25.2,2,1,3,0.5,50,2023,B
NL,Pays-Bas,99.6,10.5,1,0,1,17.4,10000,2023,A
PL,Pologne,97.0,16.7,8,5,7,37.8,2400,2023,B
PT,Portugal,98.4,14.9,4,2,4,10.3,700,2023,B
RO,Roumanie,94.8,24.3,15,10,18,19.3,1200,2023,C
SK,Slovaquie,98.0,13.8,3,2,3,5.4,420,2023,B
SI,Slovénie,98.6,11.2,2,1,2,2.1,300,2023,A
ES,Espagne,98.1,20.1,6,2,5,47.4,5500,2023,B
SE,Suède,99.6,6.4,1,0,1,10.4,1800,2023,A
