region_code,region_name,pollutant,category,avg_value,unit,limit_value,exceedance_rate_pct,affected_zones,report_year
IDF,Île-de-France,Nitrates,Chimique,28.5,mg/L,50,3.8,42,2024
IDF,Île-de-France,Pesticides total,Chimique,0.18,µg/L,0.5,2.1,28,2024
IDF,Île-de-France,Plomb,Métaux lourds,4.2,µg/L,10,1.5,15,2024
IDF,Île-de-France,PFAS,Polluants émergents,0.065,µg/L,0.1,4.2,35,2024
IDF,Île-de-France,Trihalométhanes,Sous-produits,38,µg/L,100,0.8,8,2024
IDF,Île-de-France,Chlore résiduel,Désinfection,0.15,mg/L,0.3,0.3,4,2024
IDF,Île-de-France,Bactéries coliformes,Microbiologique,0,/100mL,0,1.2,12,2024
IDF,Île-de-France,Microplastiques,Polluants émergents,3.2,particules/L,–,–,–,2024
ARA,Auvergne-Rhône-Alpes,Nitrates,Chimique,12.3,mg/L,50,0.5,8,2024
ARA,Auvergne-Rhône-Alpes,Pesticides total,Chimique,0.05,µg/L,0.5,0.3,4,2024
ARA,Auvergne-Rhône-Alpes,Plomb,Métaux lourds,2.1,µg/L,10,0.4,5,2024
ARA,Auvergne-Rhône-Alpes,PFAS,Polluants émergents,0.042,µg/L,0.1,1.8,18,2024
ARA,Auvergne-Rhône-Alpes,Trihalométhanes,Sous-produits,15,µg/L,100,0.1,2,2024
ARA,Auvergne-Rhône-Alpes,Chlore résiduel,Désinfection,0.08,mg/L,0.3,0.1,1,2024
ARA,Auvergne-Rhône-Alpes,Bactéries coliformes,Microbiologique,0,/100mL,0,0.6,7,2024
ARA,Auvergne-Rhône-Alpes,Microplastiques,Polluants émergents,1.5,particules/L,–,–,–,2024
NAQ,Nouvelle-Aquitaine,Nitrates,Chimique,31.2,mg/L,50,4.5,48,2024
NAQ,Nouvelle-Aquitaine,Pesticides total,Chimique,0.22,µg/L,0.5,3.2,32,2024
NAQ,Nouvelle-Aquitaine,Plomb,Métaux lourds,3.8,µg/L,10,1.1,12,2024
NAQ,Nouvelle-Aquitaine,PFAS,Polluants émergents,0.035,µg/L,0.1,1.2,14,2024
NAQ,Nouvelle-Aquitaine,Trihalométhanes,Sous-produits,28,µg/L,100,0.5,6,2024
NAQ,Nouvelle-Aquitaine,Chlore résiduel,Désinfection,0.12,mg/L,0.3,0.2,3,2024
NAQ,Nouvelle-Aquitaine,Bactéries coliformes,Microbiologique,0,/100mL,0,1.8,18,2024
NAQ,Nouvelle-Aquitaine,Microplastiques,Polluants émergents,2.1,particules/L,–,–,–,2024
OCC,Occitanie,Nitrates,Chimique,35.8,mg/L,50,6.2,55,2024
OCC,Occitanie,Pesticides total,Chimique,0.31,µg/L,0.5,4.8,42,2024
OCC,Occitanie,Plomb,Métaux lourds,5.1,µg/L,10,2.3,20,2024
OCC,Occitanie,PFAS,Polluants émergents,0.048,µg/L,0.1,1.5,15,2024
OCC,Occitanie,Trihalométhanes,Sous-produits,42,µg/L,100,1.2,12,2024
OCC,Occitanie,Chlore résiduel,Désinfection,0.18,mg/L,0.3,0.4,5,2024
OCC,Occitanie,Bactéries coliformes,Microbiologique,0,/100mL,0,2.8,25,2024
OCC,Occitanie,Microplastiques,Polluants émergents,2.8,particules/L,–,–,–,2024
HDF,Hauts-de-France,Nitrates,Chimique,42.1,mg/L,50,8.5,68,2024
HDF,Hauts-de-France,Pesticides total,Chimique,0.35,µg/L,0.5,5.6,48,2024
HDF,Hauts-de-France,Plomb,Métaux lourds,5.8,µg/L,10,2.8,22,2024
HDF,Hauts-de-France,PFAS,Polluants émergents,0.072,µg/L,0.1,3.5,30,2024
HDF,Hauts-de-France,Trihalométhanes,Sous-produits,45,µg/L,100,1.5,14,2024
HDF,Hauts-de-France,Chlore résiduel,Désinfection,0.2,mg/L,0.3,0.5,6,2024
HDF,Hauts-de-France,Bactéries coliformes,Microbiologique,0,/100mL,0,3.2,28,2024
HDF,Hauts-de-France,Microplastiques,Polluants émergents,3.5,particules/L,–,–,–,2024
GES,Grand Est,Nitrates,Chimique,18.7,mg/L,50,1.2,14,2024
GES,Grand Est,Pesticides total,Chimique,0.09,µg/L,0.5,0.8,9,2024
GES,Grand Est,Plomb,Métaux lourds,2.5,µg/L,10,0.6,7,2024
GES,Grand Est,PFAS,Polluants émergents,0.028,µg/L,0.1,0.9,10,2024
GES,Grand Est,Trihalométhanes,Sous-produits,20,µg/L,100,0.3,4,2024
GES,Grand Est,Chlore résiduel,Désinfection,0.1,mg/L,0.3,0.2,2,2024
GES,Grand Est,Bactéries coliformes,Microbiologique,0,/100mL,0,0.9,10,2024
GES,Grand Est,Microplastiques,Polluants émergents,1.8,particules/L,–,–,–,2024
BRE,Bretagne,Nitrates,Chimique,44.3,mg/L,50,9.8,75,2024
BRE,Bretagne,Pesticides total,Chimique,0.38,µg/L,0.5,6.2,52,2024
