region_code,region_name,compliance_rate,nitrate_avg_mg_l,quality_score,population_millions,communes,water_supply_zones
IDF,Île-de-France,94.2,28.5,B,12.3,1276,485
ARA,Auvergne-Rhône-Alpes,97.8,12.3,A,8.1,4032,1120
NAQ,Nouvelle-Aquitaine,93.5,31.2,B,6.0,4356,890
OCC,Occitanie,89.1,35.8,C,5.9,4448,765
HDF,Hauts-de-France,88.4,42.1,C,6.0,3789,620
GES,Grand Est,95.6,18.7,A,5.6,5133,950
BRE,Bretagne,86.2,44.3,C,3.4,1208,410
NOR,Normandie,91.7,29.4,B,3.3,2651,480
PDL,Pays de la Loire,90.3,33.6,B,3.8,1775,520
CVL,Centre-Val de Loire,92.1,27.8,B,2.6,1757,440
BFC,Bourgogne-Franche-Comté,96.1,15.4,A,2.8,3702,680
PAC,Provence-Alpes-Côte d'Azur,95.3,14.1,A,5.1,946,390
COR,Corse,98.2,6.8,A,0.35,360,125
